,A,B,C,A,B,C
6184,QXI74941.1 ,B.1.2,1272,"USA: AZ, Maricopa",USA,2021/2/3
6185,QXH06198.1 ,B.1.243,1273,USA: West Virginia,USA,2021/2/3
6186,QXF45822.1 ,B.1.2,1273,USA: DC,USA,2021/2/3
6187,QVI40555.1 ,B.1.2,1273,USA: CA,USA,2021/2/3
6188,QTU71181.1 ,B.1.243,1273,USA: CA,USA,2021/2/3
6189,QTU72309.1 ,B.1.429,1273,USA: CA,USA,2021/2/3
6190,QTM72509.1 ,B.1.429,1273,USA: Missouri,USA,2021/2/3
6191,QTF11890.1 ,B.1.429,1273,USA,USA,2021/2/3
6192,QSX25864.1 ,B.1.596,1273,"USA: SC, CHARLESTON",USA,2021/2/3
6193,QSW39730.1 ,B.1.243,1273,USA: CA,USA,2021/2/3
6194,QSW39933.1 ,B.1.2,1273,USA: CA,USA,2021/2/3
6195,QSV30081.1 ,B.1.2,1273,USA: NY,USA,2021/2/3
6196,QSV30129.1 ,B.1.2,1273,USA: NY,USA,2021/2/3
6197,QSV31161.1 ,B.1.2,1273,USA: OH,USA,2021/2/3
6198,QSV32253.1 ,B.1.429,1273,USA: CA,USA,2021/2/3
6199,QSI73280.1 ,B.1.596,1271,USA: FL,USA,2021/2/3
6200,QSI73734.1 ,B.1.602,1273,USA: FL,USA,2021/2/3
6201,QSI73782.1 ,B.1.234,1273,USA: FL,USA,2021/2/3
6202,QSF00909.1 ,B.1.243,1273,USA: Florida,USA,2021/2/3
6203,QSF00969.1 ,B.1.234,1273,USA: Florida,USA,2021/2/3
6204,QSF01833.1 ,B.1.2,1273,USA: North Carolina,USA,2021/2/3
6205,QSE04835.1 ,B.1.2,1273,USA: Kansas,USA,2021/2/3
6206,QSE08658.1 ,B.1.2,1273,USA: Ohio,USA,2021/2/3
6207,QSE23677.1 ,B.1.1.316,1273,USA: Vermont,USA,2021/2/3
6208,QSE24684.1 ,B.1.2,1273,USA: Maine,USA,2021/2/3
6209,QRX39286.1 ,B.1.1.7,1270,USA: Ohio,USA,2021/2/3
6210,QRV65143.1 ,B.1.298,1273,USA: MD,USA,2021/2/3
6211,WKQ04034.1 ,B.1.429,1273,USA,USA,2021/2/4
6212,WGP16118.1 ,B.1.466.1,1273,USA: FL,USA,2021/2/4
6213,UPW16617.1 ,B.1.2,1271,USA,USA,2021/2/4
6214,BDC89832.1 ,B.1.1.214,1273,Japan: Kanagawa,Japan,2021/2/4
6215,UPD66867.1 ,B.1.160,1273,France,France,2021/2/4
6216,UFJ54688.1 ,B.1.1.7,1270,USA: FL,USA,2021/2/4
6217,UFJ54700.1 ,B.1.1.7,1270,USA: FL,USA,2021/2/4
6218,UES70059.1 ,B.1.111,1273,USA,USA,2021/2/4
6219,UES70107.1 ,B.1.311,1273,USA,USA,2021/2/4
6220,UCJ03368.1 ,B.1.2,1273,USA,USA,2021/2/4
6221,UCL41484.1 ,P.2,1273,USA: North Carolina,USA,2021/2/4
6222,QYV26599.1 ,B.1.1.7,1270,USA: NY,USA,2021/2/4
6223,QXY26413.1 ,B.1.526,1273,USA,USA,2021/2/4
6224,QWU49045.1 ,B.1.1.7,1271,Bangladesh: Dhaka,Bangladesh,2021/2/4
6225,QXC78020.1 ,B.1.2,1273,"USA: Louisiana, St Bernard",USA,2021/2/4
6226,QXC78056.1 ,B.1.1.519,1273,"USA: Louisiana, Orleans",USA,2021/2/4
6227,QWY96874.1 ,B.1.311,1273,USA: New York,USA,2021/2/4
6228,QWQ66675.1 ,B.1.637,1272,USA,USA,2021/2/4
6229,QVN49054.1 ,B.1.637,1272,"USA: Alaska, Anchorage-Mat Su",USA,2021/2/4
6230,QVE04213.1 ,B.1.1.519,1273,USA: CO,USA,2021/2/4
6231,QTZ61750.1 ,B.1.575,1273,USA: Florida,USA,2021/2/4
6232,QTU78257.1 ,B.1.1.519,1273,USA: CA,USA,2021/2/4
6233,QTU70929.1 ,B.1.1.519,1273,USA: CA,USA,2021/2/4
6234,QTU72584.1 ,B.1.396,1273,USA: CA,USA,2021/2/4
6235,QTU72787.1 ,B.1.1.519,1273,USA: CA,USA,2021/2/4
6236,QTM70045.1 ,B.1.2,1273,USA,USA,2021/2/4
6237,QSX81714.1 ,B.1.2,1272,"USA: SC, BAMBERG",USA,2021/2/4
6238,QSW59204.1 ,B.1.1.358,1273,"USA: CA, Santa Clara County",USA,2021/2/4
6239,QSV29614.1 ,B.1.2,1273,USA: PA,USA,2021/2/4
6240,QSV32205.1 ,B.1.2,1273,USA: CA,USA,2021/2/4
6241,QSV33573.1 ,B.1.2,1273,USA: MO,USA,2021/2/4
6242,QSO40289.1 ,B.1.243,1273,USA: LA,USA,2021/2/4
6243,QSI72743.1 ,B.1.311,1273,USA: FL,USA,2021/2/4
6244,QSI73148.1 ,B.1.1.7,1270,USA: FL,USA,2021/2/4
6245,QSI74236.1 ,B.1.234,1273,USA: FL,USA,2021/2/4
6246,QSF00502.1 ,B.1.2,1273,USA: New Jersey,USA,2021/2/4
6247,QSF00933.1 ,B.1.2,1273,USA: Florida,USA,2021/2/4
6248,QSF01089.1 ,B.1.427,1271,USA: Nevada,USA,2021/2/4
6249,QSF01173.1 ,B.1.429,1273,USA: California,USA,2021/2/4
6250,QSF01437.1 ,B.1.2,1273,USA: Georgia,USA,2021/2/4
6251,QSF01545.1 ,B.1.2,1273,USA: Florida,USA,2021/2/4
6252,QSF01629.1 ,B.1.369,1273,USA: Pennsylvania,USA,2021/2/4
6253,QSF01737.1 ,B.1.2,1273,USA: Ohio,USA,2021/2/4
6254,QSE05375.1 ,B.1.2,1273,USA: Arkansas,USA,2021/2/4
6255,QSE20978.1 ,B.1.2,1273,USA: Missouri,USA,2021/2/4
6256,QSE21794.1 ,B.1.2,1273,USA: Florida,USA,2021/2/4
6257,QSE21830.1 ,B.1.2,1273,USA: California,USA,2021/2/4
6258,QSE23809.1 ,B.1.375,1270,USA: California,USA,2021/2/4
6259,QSE24588.1 ,B.1.2,1273,USA: Alabama,USA,2021/2/4
6260,QSE24780.1 ,B.1.2,1273,USA: Missouri,USA,2021/2/4
6261,QSE24912.1 ,B.1.2,1273,USA: Florida,USA,2021/2/4
6262,QSE25067.1 ,B.1.2,1273,USA: Kansas,USA,2021/2/4
6263,QSE25223.1 ,B.1.234,1273,USA: Arkansas,USA,2021/2/4
6264,QSE29907.1 ,B.1.561,1273,USA: Oregon,USA,2021/2/4
6265,QSE30627.1 ,B.1.2,1273,USA: Oregon,USA,2021/2/4
6266,QRR19049.1 ,B.1.2,1271,USA,USA,2021/2/4
6267,QRW34394.1 ,B.1.2,1273,USA: Michigan,USA,2021/2/4
6268,QRV65503.1 ,B.1.605,1273,USA: MD,USA,2021/2/4
6269,WKO57009.1 ,B.1.1,1273,USA,USA,2021/2/5
6270,UYB17220.1 ,B.1,1272,"USA: New York City, NY",USA,2021/2/5
6271,UNS25733.1 ,B.1.1,1273,Canada,Canada,2021/2/5
6272,UNS25793.1 ,B.1.1,1273,Canada,Canada,2021/2/5
6273,ULU87735.1 ,B.1.351,1270,"USA: Moscow, Idaho",USA,2021/2/5
6274,ULF11928.1 ,B.1.1.528,1273,South Africa,South Africa,2021/2/5
6275,UKC37675.1 ,B.1.517,1273,USA,USA,2021/2/5
6276,UFI40009.1 ,B.1.525,1270,Nigeria: Oyo,Nigeria,2021/2/5
6277,UFI40033.1 ,B.1.1.7,1270,Nigeria: Oyo,Nigeria,2021/2/5
6278,UFI40150.1 ,B.1.525,1270,Nigeria: Oyo,Nigeria,2021/2/5
6279,UFI40162.1 ,B.1.1.7,1270,Nigeria: Oyo,Nigeria,2021/2/5
6280,UFI40186.1 ,B.1.1.7,1270,Nigeria: Oyo,Nigeria,2021/2/5
6281,UFI40222.1 ,B.1.1.7,1270,Nigeria: Oyo,Nigeria,2021/2/5
6282,UFI40234.1 ,B.1.525,1270,Nigeria: Oyo,Nigeria,2021/2/5
6283,UES70431.1 ,B.1.1.519,1273,USA,USA,2021/2/5
6284,UES71111.1 ,B.1.526,1273,USA,USA,2021/2/5
6285,UDK87481.1 ,B.1.1.486,1273,USA: Pennsylvania,USA,2021/2/5
6286,UCL09373.1 ,B.1.2,1273,Mexico,Mexico,2021/2/5
6287,UAZ45958.1 ,B.1.243,1273,USA: CT,USA,2021/2/5
6288,QYV24653.1 ,B.1.2,1273,USA: GA,USA,2021/2/5
6289,QYV24915.1 ,B.1.2,1273,USA: IN,USA,2021/2/5
6290,QYV25117.1 ,B.1.2,1273,USA: NE,USA,2021/2/5
6291,QYV26445.1 ,B.1.2,1273,USA: GA,USA,2021/2/5
6292,QXY17206.1 ,B.1.429,1273,"USA: California,Los Angeles County",USA,2021/2/5
6293,QXY26365.1 ,B.1.526,1273,USA,USA,2021/2/5
6294,QXY74738.1 ,B.1.526,1273,USA,USA,2021/2/5
6295,QXJ03653.1 ,B.1.526,1272,"USA: Pennsylvania, Philadelphia",USA,2021/2/5
6296,QXE56225.1 ,B.1.2,1273,USA,USA,2021/2/5
6297,QWX30352.1 ,B.1.234,1273,USA: Louisiana,USA,2021/2/5
6298,QVR40030.1 ,B.1.1.519,1273,USA: TX,USA,2021/2/5
6299,QVL91020.1 ,B.1.2,1273,"USA: Alaska, Anchorage-Mat Su",USA,2021/2/5
6300,QVE04237.1 ,B.1.2,1273,USA: CO,USA,2021/2/5
6301,QVE04285.1 ,B.1.2,1273,USA: CO,USA,2021/2/5
6302,QTW03392.1 ,B.1.2,1273,"USA: Alabama, DeKalb County",USA,2021/2/5
6303,QTW03572.1 ,B.1.2,1273,"USA: Alabama, Morgan County",USA,2021/2/5
6304,QTU87401.1 ,B.1.427,1273,"USA: CA, Contra Costa County",USA,2021/2/5
6305,QTM18331.1 ,B.1.1.7,1273,West Bank: Nablus,West Bank,2021/2/5
6306,QTM18354.1 ,B.1.1.7,1273,West Bank: Nablus,West Bank,2021/2/5
6307,QTM18366.1 ,B.1.1.7,1273,West Bank: Salfit,West Bank,2021/2/5
6308,QTM18378.1 ,B.1.1.50,1273,West Bank: Salfit,West Bank,2021/2/5
6309,QTM18390.1 ,B.1.1.7,1273,West Bank: Salfit,West Bank,2021/2/5
6310,QTM71684.1 ,B.1.2,1273,USA: Missouri,USA,2021/2/5
6311,QTE11359.1 ,B.1.351,1270,USA: ID,USA,2021/2/5
6312,QTB11452.1 ,B.1.1.316,1273,USA: GU,USA,2021/2/5
6313,QSX81043.1 ,B.1.2,1273,USA: TX,USA,2021/2/5
6314,QSX81918.1 ,B.1.2,1273,"USA: SC, SPARTANBURG",USA,2021/2/5
6315,QST05435.1 ,B.1.1.7,1270,USA: California,USA,2021/2/5
6316,QSR14207.1 ,B.1.588,1273,USA: FL,USA,2021/2/5
6317,QSH79668.1 ,A.23.1,1273,USA: Massachusetts,USA,2021/2/5
6318,QSI73878.1 ,B.1.1.222,1273,USA: FL,USA,2021/2/5
6319,QSH54761.1 ,B.1.311,1273,USA: Minnesota,USA,2021/2/5
6320,QSF01497.1 ,B.1.427,1271,USA: California,USA,2021/2/5
6321,QSF02721.1 ,B.1.243,1273,USA: Pennsylvania,USA,2021/2/5
6322,QSE29428.1 ,B.1.1.519,1273,USA: Arizona,USA,2021/2/5
6323,QSE29679.1 ,B.1.1.416,1273,USA: Arizona,USA,2021/2/5
6324,QSE29715.1 ,B.1.2,1273,USA: Oregon,USA,2021/2/5
6325,QRW33770.1 ,B.1.1,1273,USA: Florida,USA,2021/2/5
6326,QRW33806.1 ,B.1.2,1273,USA: Indiana,USA,2021/2/5
6327,QRW33902.1 ,B.1.2,1273,USA: Georgia,USA,2021/2/5
6328,QRW33950.1 ,B.1.243,1273,USA: Pennsylvania,USA,2021/2/5
6329,QRW34046.1 ,B.1.2,1273,USA: Louisiana,USA,2021/2/5
6330,QRW34166.1 ,B.1.2,1272,USA: Florida,USA,2021/2/5
6331,QRW34334.1 ,B.1.2,1273,USA: Pennsylvania,USA,2021/2/5
6332,QRW34814.1 ,B.1.2,1273,USA: Texas,USA,2021/2/5
6333,QRV65035.1 ,B.1.1.7,1269,USA: MD,USA,2021/2/5
6334,UGW28047.1 ,B.1.2,1273,USA: Michigan,USA,2021/2/6
6335,UAZ44429.1 ,B.1.243,1273,USA: TX,USA,2021/2/6
6336,UAZ47970.1 ,B.1.2,1273,USA: TX,USA,2021/2/6
6337,UAZ49271.1 ,B.1.243,1273,USA: TX,USA,2021/2/6
6338,UAZ51566.1 ,B.1.2,1273,USA: LA,USA,2021/2/6
6339,QZI01449.1 ,B.1.1,1272,Saudi Arabia: Riyadh,Saudi Arabia,2021/2/6
6340,QXY26629.1 ,B.1.526,1273,USA,USA,2021/2/6
6341,QXY26713.1 ,B.1.526,1273,USA,USA,2021/2/6
6342,QXY26737.1 ,B.1.526,1273,USA,USA,2021/2/6
6343,QVE04357.1 ,B.1.311,1273,USA: CO,USA,2021/2/6
6344,QTZ61714.1 ,B.1.2,1273,USA: Kansas,USA,2021/2/6
6345,QTW03776.1 ,B.1.349,1273,"USA: Alabama, Houston County",USA,2021/2/6
6346,QTW03800.1 ,B.1.2,1273,"USA: Alabama, Montgomery County",USA,2021/2/6
6347,QTW03872.1 ,B.1.2,1273,"USA: Alabama, Morgan County",USA,2021/2/6
6348,QTU87317.1 ,B.1.427,1273,"USA: CA, Contra Costa County",USA,2021/2/6
6349,QTQ41839.1 ,B.1.1.7,1270,USA: Minnesota,USA,2021/2/6
6350,QTM18414.1 ,B.1.1.50,1273,West Bank: Salfit,West Bank,2021/2/6
6351,QTM18473.1 ,B.1.1.50,1273,West Bank: Qalqilia,West Bank,2021/2/6
6352,QTM18485.1 ,B.1.1.50,1273,West Bank: Qalqilia,West Bank,2021/2/6
6353,QSQ87307.1 ,B.1.111,1273,Spain,Spain,2021/2/6
6354,QSQ87331.1 ,B.1.1.7,1265,Spain,Spain,2021/2/6
6355,QSL69872.1 ,B.1.336,1273,USA: California,USA,2021/2/6
6356,QSF02265.1 ,B.1.2,1273,USA: Arizona,USA,2021/2/6
6357,QSF02661.1 ,B.1.2,1273,USA: South Carolina,USA,2021/2/6
6358,QSF02853.1 ,B.1.2,1273,USA: Arizona,USA,2021/2/6
6359,QSF02865.1 ,B.1.2,1273,USA: Texas,USA,2021/2/6
6360,QSF03129.1 ,B.1.1.519,1273,USA: Texas,USA,2021/2/6
6361,QSF04689.1 ,B.1.361,1273,USA: Michigan,USA,2021/2/6
6362,QSF05037.1 ,B.1.2,1273,USA: Michigan,USA,2021/2/6
6363,QSE21122.1 ,B.1.2,1273,USA: Ohio,USA,2021/2/6
6364,QSE21158.1 ,B.1.2,1273,USA: New Mexico,USA,2021/2/6
6365,QSE25391.1 ,B.1.2,1273,USA: Missouri,USA,2021/2/6
6366,QSE33587.1 ,B.1.2,1273,USA: Florida,USA,2021/2/6
6367,QRW33938.1 ,B.1.551,1273,USA: Maryland,USA,2021/2/6
6368,QRW34466.1 ,B.1.2,1273,USA: Pennsylvania,USA,2021/2/6
6369,QRW34562.1 ,B.1.243,1273,USA: California,USA,2021/2/6
6370,QRW34754.1 ,B.1.2,1273,USA: Florida,USA,2021/2/6
6371,QRW35078.1 ,B.1.311,1273,USA: Pennsylvania,USA,2021/2/6
6372,QRW35102.1 ,B.1.243,1273,USA: Florida,USA,2021/2/6
6373,QRW35258.1 ,B.1.2,1273,USA: Pennsylvania,USA,2021/2/6
6374,QRW35282.1 ,B.1.567,1273,USA: Florida,USA,2021/2/6
6375,UPD66639.1 ,B.1.160.30,1273,France,France,2021/2/7
6376,UES70515.1 ,B.1.1.7,1270,USA,USA,2021/2/7
6377,UCL09194.1 ,B.1.2,1273,Mexico,Mexico,2021/2/7
6378,UCL48432.1 ,B.1.526,1273,USA: Florida,USA,2021/2/7
6379,QZI01389.1 ,B.1.1,1273,Saudi Arabia: Riyadh,Saudi Arabia,2021/2/7
6380,QXY26533.1 ,B.1.526,1273,USA,USA,2021/2/7
6381,QXY27301.1 ,B.1.526,1273,USA,USA,2021/2/7
6382,QXY27349.1 ,B.1.526,1273,USA,USA,2021/2/7
6383,QWB90679.1 ,B.1.36.1,1273,Iraq,Iraq,2021/2/7
6384,BCX29256.1 ,B.1.1.214,1273,Japan:Hokkaido,Japan,2021/2/7
6385,QVK81798.1 ,B.1.427,1273,USA: TX,USA,2021/2/7
6386,QVK81906.1 ,B.1.1.222,1273,USA: TX,USA,2021/2/7
6387,QTZ61915.1 ,B.1.526,1273,USA: Texas,USA,2021/2/7
6388,QTU87281.1 ,B.1.427,1273,"USA: CA, Contra Costa County",USA,2021/2/7
6389,QSX92418.1 ,B.1.1.519,1273,USA: Massachusetts,USA,2021/2/7
6390,QSQ87343.1 ,B.1.177,1273,Spain,Spain,2021/2/7
6391,QSF04029.1 ,B.1.243,1272,USA: Florida,USA,2021/2/7
6392,QSF04569.1 ,B.1.2,1273,USA: Massachusetts,USA,2021/2/7
6393,QSF05553.1 ,B.1.2,1273,USA: Georgia,USA,2021/2/7
6394,QSF08313.1 ,B.1.2,1273,USA: Connecticut,USA,2021/2/7
6395,QSE21782.1 ,B.1,1273,USA: California,USA,2021/2/7
6396,QSE25930.1 ,B.1.596,1273,USA: Texas,USA,2021/2/7
6397,QSE26026.1 ,B.1.2,1273,USA: Texas,USA,2021/2/7
6398,QSE26361.1 ,B.1.2,1273,USA: Wisconsin,USA,2021/2/7
6399,QSE26815.1 ,B.1.577,1273,USA: Texas,USA,2021/2/7
6400,QSE26923.1 ,B.1.2,1273,USA: Texas,USA,2021/2/7
6401,QSE27883.1 ,B.1.243,1273,USA: Pennsylvania,USA,2021/2/7
6402,QSE28159.1 ,B.1.311,1272,USA: Pennsylvania,USA,2021/2/7
6403,QSE28972.1 ,B.1.243,1273,USA: Ohio,USA,2021/2/7
6404,QSE29116.1 ,B.1.1.519,1273,USA: California,USA,2021/2/7
6405,QSE29164.1 ,B.1.2,1273,USA: California,USA,2021/2/7
6406,QSE29380.1 ,B.1.1,1273,USA: California,USA,2021/2/7
6407,QRW35642.1 ,B.1.2,1273,USA: Texas,USA,2021/2/7
6408,WKQ08159.1 ,B.1.2,1273,USA,USA,2021/2/8
6409,WIF11726.1 ,B.1.351.2,1270,France,France,2021/2/8
6410,UXU18549.1 ,B.1.1.420,1273,Gambia,Gambia,2021/2/8
6411,URF13830.1 ,B.1.2,1273,USA: South Dakota,USA,2021/2/8
6412,URF14733.1 ,B.1.2,1273,USA: South Dakota,USA,2021/2/8
6413,UPD73279.1 ,B.1.160,1273,France,France,2021/2/8
6414,UIA42499.1 ,B.1.427,1273,USA,USA,2021/2/8
6415,UIA42698.1 ,B.1.551,1273,USA,USA,2021/2/8
6416,UIA42950.1 ,B.1.2,1273,USA,USA,2021/2/8
6417,UIA44571.1 ,B.1.243,1273,USA,USA,2021/2/8
6418,UIA45199.1 ,B.1.429,1273,USA,USA,2021/2/8
6419,UIA45484.1 ,B.1.429,1273,USA,USA,2021/2/8
6420,UIA45616.1 ,B.1.243,1273,USA,USA,2021/2/8
6421,UIA48270.1 ,B.1.429,1273,USA,USA,2021/2/8
6422,UFI40350.1 ,B.1.1.7,1270,Nigeria: Oyo,Nigeria,2021/2/8
6423,UFI40362.1 ,B.1.525,1270,Nigeria: Oyo,Nigeria,2021/2/8
6424,UFI40397.1 ,B.1.1.7,1270,Nigeria: Oyo,Nigeria,2021/2/8
6425,UFI40611.1 ,B.1.525,1270,Nigeria: Oyo,Nigeria,2021/2/8
6426,UFI40635.1 ,B.1.525,1270,Nigeria: Oyo,Nigeria,2021/2/8
6427,UES71039.1 ,B.1.526,1273,USA,USA,2021/2/8
6428,UCK93926.1 ,B.1.1.519,1273,Mexico,Mexico,2021/2/8
6429,UCL01644.1 ,B.1.1.519,1273,Mexico,Mexico,2021/2/8
6430,UCL02817.1 ,B.1.1.519,1273,Mexico,Mexico,2021/2/8
6431,UCL09230.1 ,B.1.1.222,1273,Mexico,Mexico,2021/2/8
6432,UAZ48256.1 ,B.1.1.222,1272,USA: DC,USA,2021/2/8
6433,UAZ49642.1 ,B.1.1.434,1273,USA: MS,USA,2021/2/8
6434,UAZ50277.1 ,B.1.2,1273,USA: RI,USA,2021/2/8
6435,QZI01210.1 ,B.1.1,1273,Saudi Arabia: Riyadh,Saudi Arabia,2021/2/8
6436,QZI01784.1 ,B.1.1,1272,Saudi Arabia: Riyadh,Saudi Arabia,2021/2/8
6437,QYV25285.1 ,B.1.2,1273,USA: NC,USA,2021/2/8
6438,QYV25452.1 ,B.1.2,1273,USA: DE,USA,2021/2/8
6439,QYV25644.1 ,B.1.2,1273,USA: NC,USA,2021/2/8
6440,QYV26397.1 ,B.1.111,1273,USA: GA,USA,2021/2/8
6441,QYQ13989.1 ,B.1.361,1273,USA: PA,USA,2021/2/8
6442,QXY15186.1 ,B.1.429,1273,"USA: California,Los Angeles County",USA,2021/2/8
6443,QXY26881.1 ,B.1.526,1273,USA,USA,2021/2/8
6444,QXY27061.1 ,B.1.526,1273,USA,USA,2021/2/8
6445,QXY27097.1 ,B.1.526,1273,USA,USA,2021/2/8
6446,QXY27145.1 ,B.1.526,1273,USA,USA,2021/2/8
6447,QXY27313.1 ,B.1.526,1273,USA,USA,2021/2/8
6448,QXY27373.1 ,B.1.526,1273,USA,USA,2021/2/8
6449,QXY27505.1 ,B.1.526,1273,USA,USA,2021/2/8
6450,QXY27577.1 ,B.1.526,1273,USA,USA,2021/2/8
6451,QXY74966.1 ,B.1.1.7,1270,USA,USA,2021/2/8
6452,QXX32292.1 ,B.1.234,1273,USA: North Carolina,USA,2021/2/8
6453,QXN66784.1 ,B.1.617.1,1273,India: Madhya Pradesh,India,2021/2/8
6454,QWY95002.1 ,B.1.1.486,1273,USA: New York,USA,2021/2/8
6455,QWN56109.1 ,B.1.1,1273,Iraq,Iraq,2021/2/8
6456,QWA18747.1 ,B.1.2,1273,USA: GA,USA,2021/2/8
6457,QVL88453.1 ,B.1.1.519,1273,USA: Alaska,USA,2021/2/8
6458,QVE04763.1 ,B.1.568,1273,USA: KS,USA,2021/2/8
6459,QTZ62045.1 ,B.1.2,1273,USA: Louisiana,USA,2021/2/8
6460,QTZ63178.1 ,B.1.637,1272,USA: Florida,USA,2021/2/8
6461,QTJ98399.1 ,P.2,1273,USA: Florida,USA,2021/2/8
6462,QTG64124.1 ,B.1.2,1273,USA: TX,USA,2021/2/8
6463,QTE04326.1 ,B.1.2,1273,USA: South Dakota,USA,2021/2/8
6464,QTC25496.1 ,B.1.1.7,1270,USA: California,USA,2021/2/8
6465,QTA95102.1 ,B.1.526,1272,USA: TX,USA,2021/2/8
6466,QSZ25737.1 ,B.1.2,1273,"USA: SC, UNKNOWN",USA,2021/2/8
6467,QTA50722.1 ,B.1.2,1273,USA: GA,USA,2021/2/8
6468,QTA50913.1 ,B.1.111,1273,USA: GA,USA,2021/2/8
6469,QSV30537.1 ,B.1.2,1273,USA: VA,USA,2021/2/8
6470,QSV32853.1 ,B.1.2,1273,USA: MT,USA,2021/2/8
6471,QSV32985.1 ,B.1.2,1273,USA: UT,USA,2021/2/8
6472,QSV32997.1 ,B.1.561,1273,USA: UT,USA,2021/2/8
6473,QSQ87403.1 ,B.1.1.389,1273,Spain,Spain,2021/2/8
6474,QSQ87415.1 ,B.1.177,1267,Spain,Spain,2021/2/8
6475,QSR14279.1 ,B.1.2,1273,USA: FL,USA,2021/2/8
6476,QSR14590.1 ,B.1.596,1273,USA: FL,USA,2021/2/8
6477,QSR14602.1 ,B.1.429,1273,USA: FL,USA,2021/2/8
6478,QST03573.1 ,B.1.1.7,1270,USA: Florida,USA,2021/2/8
6479,QST03621.1 ,B.1.1.7,1270,USA: Florida,USA,2021/2/8
6480,QSQ07302.1 ,B.1.1.7,1270,"USA: Montgomery, AL",USA,2021/2/8
6481,QSL69752.1 ,B.1.234,1273,USA: California,USA,2021/2/8
6482,QSL70304.1 ,B.1.1.519,1273,USA: California,USA,2021/2/8
6483,QSL74748.1 ,B.1.427,1273,USA: California,USA,2021/2/8
6484,QSL74796.1 ,B.1.2,1273,USA: California,USA,2021/2/8
6485,QSL82527.1 ,B.1.2,1273,USA: California,USA,2021/2/8
6486,QSF03225.1 ,B.1.427,1272,USA: California,USA,2021/2/8
6487,QSF04617.1 ,B.1.2,1273,USA: California,USA,2021/2/8
6488,QSF05325.1 ,B.1.1.192,1273,USA: Massachusetts,USA,2021/2/8
6489,QSF05409.1 ,B.1.429,1273,USA: Florida,USA,2021/2/8
6490,QSF05433.1 ,B.1.243,1273,USA: Pennsylvania,USA,2021/2/8
6491,QSE26134.1 ,B.1.517,1273,USA: Massachusetts,USA,2021/2/8
6492,QSE26289.1 ,B.1.517,1273,USA: Connecticut,USA,2021/2/8
6493,QSE26635.1 ,B.1.243,1273,USA: New York,USA,2021/2/8
6494,QSE26971.1 ,B.1.577,1273,USA: Massachusetts,USA,2021/2/8
6495,QSE27007.1 ,B.1.2,1273,USA: Massachusetts,USA,2021/2/8
6496,QSE27115.1 ,B.1.243,1273,USA: Connecticut,USA,2021/2/8
6497,QSE27727.1 ,B.1.361,1273,USA: Pennsylvania,USA,2021/2/8
6498,QSE28255.1 ,B.1.311,1273,USA: Florida,USA,2021/2/8
6499,QSE28530.1 ,B.1.1.348,1273,USA: Florida,USA,2021/2/8
6500,QSE28578.1 ,B.1.2,1273,USA: Florida,USA,2021/2/8
6501,QSE30435.1 ,B.1.2,1273,USA: California,USA,2021/2/8
6502,QSE32162.1 ,B.1.2,1273,USA: Texas,USA,2021/2/8
6503,QSE32546.1 ,B.1.234,1273,USA: Texas,USA,2021/2/8
6504,QRW35522.1 ,B.1.429,1273,USA: California,USA,2021/2/8
6505,QRW35618.1 ,B.1.427,1273,USA: California,USA,2021/2/8
6506,WKO77119.1 ,B.1.2,1273,USA,USA,2021/2/9
6507,WIF11738.1 ,B.1.351.2,1266,France,France,2021/2/9
6508,UPX08364.1 ,B.1.2,1266,USA,USA,2021/2/9
6509,UNV29668.1 ,B.1.2,1273,USA: ID,USA,2021/2/9
6510,UIA44475.1 ,B.1.243,1273,USA,USA,2021/2/9
6511,UES71699.1 ,R.1,1273,USA,USA,2021/2/9
6512,UCK98889.1 ,B.1.2,1273,Mexico,Mexico,2021/2/9
6513,UCL02387.1 ,B.1.1.432,1273,Mexico,Mexico,2021/2/9
6514,UAZ46591.1 ,R.1,1273,USA: NY,USA,2021/2/9
6515,QZI01126.1 ,B.1.1,1273,Saudi Arabia: Riyadh,Saudi Arabia,2021/2/9
6516,QYV25368.1 ,B.1.1.1,1273,USA: NC,USA,2021/2/9
6517,QYC60574.1 ,P.2,1273,USA: IN,USA,2021/2/9
6518,QXY27457.1 ,B.1.526,1273,USA,USA,2021/2/9
6519,QXY27733.1 ,B.1.526,1273,USA,USA,2021/2/9
6520,QXY75145.1 ,B.1.637,1272,USA,USA,2021/2/9
6521,QXX32495.1 ,B.1.2,1273,USA: North Carolina,USA,2021/2/9
6522,QXX32603.1 ,B.1.2,1273,USA: North Carolina,USA,2021/2/9
6523,QXJ78051.1 ,B.1.2,1273,Djibouti,Djibouti,2021/2/9
6524,QXJ78147.1 ,B.1.2,1273,Djibouti,Djibouti,2021/2/9
6525,QWF08668.1 ,B.1.1.7,1270,Ghana,Ghana,2021/2/9
6526,QUA19811.1 ,B.1.575,1273,USA: Rhode Island,USA,2021/2/9
6527,QTW99286.1 ,B.1.2,1273,USA: MO,USA,2021/2/9
6528,QTW04160.1 ,B.1.2,1273,"USA: Alabama, Jackson County",USA,2021/2/9
6529,QTU70245.1 ,B.1.2,1273,"USA: CA, Humboldt County",USA,2021/2/9
6530,QTU74345.1 ,B.1.429,1273,USA: CA,USA,2021/2/9
6531,QTU74764.1 ,B.1.427,1273,USA: CA,USA,2021/2/9
6532,QTU74908.1 ,B.1.595,1273,USA: CA,USA,2021/2/9
